DATA,PERIODO,NOME_EVENTO,DISTANCIA,MEDALHA,INFANTIL,LOCAL,MODALIDADE,VALOR,SITE
23/03/2025,Manhã,Circuito Popular de corrida de São Paulo 2025,5,SIM,SIM,Parque Vila do Rodeio,Corrida de Rua,Gratuito,Parque Vila do Rodeio - Circuito Popular de corrida de São Paulo 2025 - Esportividade - Guia de esporte de São Paulo e regi�o
23/03/2025,Manhã,Girl Power Run 2025 - São Paulo,5/10,SIM,SIM,Parque Villa-Lobos,Corrida de Rua,a partir de R$ 103,90,https://www.girlpowerseries.com.br/sao-paulo/
23/03/2025,Manhã,1° Shopping Cidade Jardim de 2025 - Santander Track&Field Run Series,N/I,SIM,NÃO,Shopping Cidade Jardim,Corrida de Rua,a partir de R$ 229,90,https://www.tfsports.com.br/run-series/cidade-jardim-i-1/
23/03/2025,Manhã,Etapa Sesc Florêncio de Abreu - Circuito Sesc de corridas 2025,5,SIM,SIM,Praça do Patriarca,Corrida de Rua,a partir de R$ 15,00,http://www.sescsp.org.br/programacao/circuito-sesc-de-corridas-etapa-florencio-de-abreu/
29/03/2025,,Corrida Granado Pink São Paulo 2025,,,,São Paulo - Zona Oeste,Corrida de rua, Corrida feminina,
29/03/2025,Noite,Corrida Ladies Run 2025 - São Paulo,,,,São Paulo - Zona Leste,Corrida de rua,,https://esportividade.com.br/evento/corrida-ladies-run-2025-sao-paulo/
29/03/2025,Noite,Corrida Ladies Run 2025 - São Paulo,N/I,SIM,NÃO,Ceret,Corrida de Rua,a partir de R$ 54,90,https://www.ticketsports.com.br/e/corrida-ladies-run-2025-71388?origem=esportividade&campanha=esportividade
30/03/2025,,Corrida Sírio-Libanês 2025 - São Paulo,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/corrida-sirio-libanes-2025-sao-paulo/
30/03/2025,Manhã,Santos 21,,,,,Interior/litoral-SP,Corrida de rua,
30/03/2025,Manhã,1° Center Norte de 2025 - Santander Track&Field Run Series,,,,São Paulo - Zona Norte,Corrida de rua, Corrida infantil,
30/03/2025,Manhã,Circuito Pague Menos 2025 - etapa Americana,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-pague-menos-2025-etapa-americana/
30/03/2025,Manhã,Corrida e Caminhada pela IncluSão 2025 - Instituto Olga Kos,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/corrida-e-caminhada-pela-inclusao-2025-instituto-olga-kos/
30/03/2025,Manhã,Corrida das Mulheres 2025 - Diadema,,,,Diadema-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-das-mulheres-2025-diadema/
